# iteration,loss
1.000000000000000000e+00,2.667010029235520392e+02
2.000000000000000000e+00,2.648806862247717504e+02
3.000000000000000000e+00,2.625376494608555049e+02
4.000000000000000000e+00,2.623839602046365371e+02
5.000000000000000000e+00,2.605904231001198923e+02
6.000000000000000000e+00,2.581821994889661482e+02
7.000000000000000000e+00,2.554514681908685816e+02
8.000000000000000000e+00,2.549814450803973216e+02
9.000000000000000000e+00,2.519038410778063337e+02
1.000000000000000000e+01,2.483122336784267361e+02
1.100000000000000000e+01,2.478260644541508384e+02
1.200000000000000000e+01,2.469214255184888032e+02
1.300000000000000000e+01,2.449625907407713612e+02
1.400000000000000000e+01,2.413347209345584190e+02
1.500000000000000000e+01,2.416662645502959492e+02
1.600000000000000000e+01,2.390708620184168751e+02
1.700000000000000000e+01,2.370502478556846313e+02
1.800000000000000000e+01,2.367282767939906591e+02
1.900000000000000000e+01,2.326515298655646404e+02
2.000000000000000000e+01,2.317676432500927604e+02
2.100000000000000000e+01,2.302021413883728087e+02
2.200000000000000000e+01,2.303710735291963090e+02
2.300000000000000000e+01,2.254926673484898743e+02
2.400000000000000000e+01,2.256748713978357728e+02
2.500000000000000000e+01,2.217291067750635420e+02
2.600000000000000000e+01,2.208172709463700301e+02
2.700000000000000000e+01,2.198256101836939251e+02
2.800000000000000000e+01,2.176419533079809128e+02
2.900000000000000000e+01,2.154740206063379162e+02
3.000000000000000000e+01,2.154725718418000326e+02
3.100000000000000000e+01,2.120146367397614426e+02
3.200000000000000000e+01,2.108319580638828086e+02
3.300000000000000000e+01,2.090552536218142734e+02
3.400000000000000000e+01,2.087457541980904523e+02
3.500000000000000000e+01,2.080343921938315361e+02
3.600000000000000000e+01,2.068013468642161854e+02
3.700000000000000000e+01,2.042594193975977532e+02
3.800000000000000000e+01,2.022583803380489655e+02
3.900000000000000000e+01,2.004937714617994118e+02
4.000000000000000000e+01,2.008628019482367790e+02
4.100000000000000000e+01,1.994580096538254566e+02
4.200000000000000000e+01,1.971234767957022314e+02
4.300000000000000000e+01,1.958915150667814657e+02
4.400000000000000000e+01,1.940741571706756474e+02
4.500000000000000000e+01,1.927573361817961199e+02
4.600000000000000000e+01,1.926748588298766833e+02
4.700000000000000000e+01,1.916081775116820438e+02
4.800000000000000000e+01,1.898377712524057017e+02
4.900000000000000000e+01,1.875464113669714266e+02
5.000000000000000000e+01,1.881297119685306711e+02
5.100000000000000000e+01,1.864539928433711111e+02
5.200000000000000000e+01,1.847526559172640930e+02
5.300000000000000000e+01,1.842430337316369275e+02
5.400000000000000000e+01,1.818943280824398698e+02
5.500000000000000000e+01,1.826281699348962206e+02
5.600000000000000000e+01,1.803457437807575729e+02
5.700000000000000000e+01,1.787109314133287796e+02
5.800000000000000000e+01,1.771494226676553012e+02
5.900000000000000000e+01,1.747411815497225689e+02
6.000000000000000000e+01,1.754505962636568199e+02
6.100000000000000000e+01,1.736287093920964253e+02
6.200000000000000000e+01,1.725644884654991529e+02
6.300000000000000000e+01,1.706454305660998330e+02
6.400000000000000000e+01,1.694871228096496907e+02
6.500000000000000000e+01,1.698566902346136374e+02
6.600000000000000000e+01,1.677787112073402511e+02
6.700000000000000000e+01,1.676004776936059102e+02
6.800000000000000000e+01,1.658141352676946099e+02
6.900000000000000000e+01,1.642915635041661631e+02
7.000000000000000000e+01,1.632539877671416946e+02
7.100000000000000000e+01,1.625094200547861760e+02
7.200000000000000000e+01,1.614083452148743447e+02
7.300000000000000000e+01,1.594882050493951056e+02
7.400000000000000000e+01,1.594476067691144863e+02
7.500000000000000000e+01,1.585679201376830179e+02
7.600000000000000000e+01,1.569390215583998156e+02
7.700000000000000000e+01,1.560590170047487959e+02
7.800000000000000000e+01,1.549924113266005179e+02
7.900000000000000000e+01,1.544967794958153320e+02
8.000000000000000000e+01,1.525120890918984458e+02
8.100000000000000000e+01,1.515050037672472172e+02
8.200000000000000000e+01,1.506754688456456961e+02
8.300000000000000000e+01,1.495925517782595762e+02
8.400000000000000000e+01,1.491107410235579778e+02
8.500000000000000000e+01,1.473712518961364992e+02
8.600000000000000000e+01,1.473891487687932056e+02
8.700000000000000000e+01,1.463640181135279477e+02
8.800000000000000000e+01,1.439697702305363407e+02
8.900000000000000000e+01,1.440289125912391626e+02
9.000000000000000000e+01,1.426417639933699775e+02
9.100000000000000000e+01,1.415245639922880514e+02
9.200000000000000000e+01,1.405893866735692086e+02
9.300000000000000000e+01,1.403644593940206846e+02
9.400000000000000000e+01,1.395404676441124252e+02
9.500000000000000000e+01,1.380062113205534331e+02
9.600000000000000000e+01,1.381633210709109392e+02
9.700000000000000000e+01,1.364653752869353980e+02
9.800000000000000000e+01,1.356701419586471786e+02
9.900000000000000000e+01,1.349191777622260418e+02
1.000000000000000000e+02,1.343187049111373597e+02
1.010000000000000000e+02,1.319652563645747136e+02
1.020000000000000000e+02,1.315062313337210469e+02
1.030000000000000000e+02,1.308797310560828464e+02
1.040000000000000000e+02,1.295103551951798408e+02
1.050000000000000000e+02,1.291208391628058223e+02
1.060000000000000000e+02,1.292738982062889193e+02
1.070000000000000000e+02,1.267730127582860860e+02
1.080000000000000000e+02,1.261213951507423019e+02
