# iteration,loss
1.000000000000000000e+00,4.448173522949218750e+02
2.000000000000000000e+00,4.163161010742187500e+02
3.000000000000000000e+00,4.009145202636718750e+02
4.000000000000000000e+00,3.805650634765625000e+02
5.000000000000000000e+00,3.791979370117187500e+02
6.000000000000000000e+00,3.757455139160156250e+02
7.000000000000000000e+00,3.736384582519531250e+02
8.000000000000000000e+00,4.032931823730468750e+02
9.000000000000000000e+00,3.760625610351562500e+02
1.000000000000000000e+01,3.734450683593750000e+02
1.100000000000000000e+01,3.721341552734375000e+02
1.200000000000000000e+01,3.714873046875000000e+02
1.300000000000000000e+01,3.712882995605468750e+02
1.400000000000000000e+01,3.705834655761718750e+02
1.500000000000000000e+01,3.710628051757812500e+02
1.600000000000000000e+01,3.724761962890625000e+02
1.700000000000000000e+01,3.718710327148437500e+02
1.800000000000000000e+01,3.733845825195312500e+02
1.900000000000000000e+01,3.715343933105468750e+02
2.000000000000000000e+01,3.721488037109375000e+02
2.100000000000000000e+01,3.726277465820312500e+02
2.200000000000000000e+01,3.734054870605468750e+02
2.300000000000000000e+01,3.732249450683593750e+02
2.400000000000000000e+01,3.824081726074218750e+02
2.500000000000000000e+01,3.754458312988281250e+02
2.600000000000000000e+01,3.804291992187500000e+02
2.700000000000000000e+01,3.730099792480468750e+02
2.800000000000000000e+01,3.717255554199218750e+02
2.900000000000000000e+01,3.718671875000000000e+02
3.000000000000000000e+01,3.733976440429687500e+02
3.100000000000000000e+01,3.710939941406250000e+02
3.200000000000000000e+01,3.715666198730468750e+02
3.300000000000000000e+01,3.726592712402343750e+02
3.400000000000000000e+01,3.712097167968750000e+02
3.500000000000000000e+01,3.712706298828125000e+02
3.600000000000000000e+01,4.025438232421875000e+02
3.700000000000000000e+01,3.772751464843750000e+02
3.800000000000000000e+01,3.772653503417968750e+02
3.900000000000000000e+01,3.723126525878906250e+02
4.000000000000000000e+01,3.717380371093750000e+02
4.100000000000000000e+01,3.715905456542968750e+02
4.200000000000000000e+01,3.707000122070312500e+02
4.300000000000000000e+01,3.712266540527343750e+02
4.400000000000000000e+01,3.705893249511718750e+02
4.500000000000000000e+01,3.711175231933593750e+02
4.600000000000000000e+01,3.720686645507812500e+02
4.700000000000000000e+01,3.731784362792968750e+02
4.800000000000000000e+01,3.745390625000000000e+02
4.900000000000000000e+01,3.753903808593750000e+02
5.000000000000000000e+01,3.720390014648437500e+02
5.100000000000000000e+01,3.724163818359375000e+02
5.200000000000000000e+01,3.714425659179687500e+02
5.300000000000000000e+01,3.718032226562500000e+02
5.400000000000000000e+01,3.715608825683593750e+02
5.500000000000000000e+01,3.719876098632812500e+02
5.600000000000000000e+01,3.702501220703125000e+02
5.700000000000000000e+01,3.716981506347656250e+02
5.800000000000000000e+01,3.790578308105468750e+02
5.900000000000000000e+01,3.725137329101562500e+02
6.000000000000000000e+01,3.724018859863281250e+02
6.100000000000000000e+01,3.757461853027343750e+02
6.200000000000000000e+01,3.771840820312500000e+02
6.300000000000000000e+01,3.738014526367187500e+02
6.400000000000000000e+01,3.730709533691406250e+02
6.500000000000000000e+01,3.714664611816406250e+02
6.600000000000000000e+01,3.729335937500000000e+02
6.700000000000000000e+01,3.720047607421875000e+02
6.800000000000000000e+01,3.708971862792968750e+02
6.900000000000000000e+01,3.718241882324218750e+02
7.000000000000000000e+01,3.726904602050781250e+02
7.100000000000000000e+01,3.735472106933593750e+02
7.200000000000000000e+01,3.725099487304687500e+02
7.300000000000000000e+01,3.722424316406250000e+02
7.400000000000000000e+01,3.777287597656250000e+02
7.500000000000000000e+01,3.742660217285156250e+02
7.600000000000000000e+01,3.781788635253906250e+02
7.700000000000000000e+01,3.726753234863281250e+02
7.800000000000000000e+01,3.729769897460937500e+02
7.900000000000000000e+01,3.785157165527343750e+02
8.000000000000000000e+01,3.727715759277343750e+02
8.100000000000000000e+01,3.740065917968750000e+02
8.200000000000000000e+01,3.725491027832031250e+02
8.300000000000000000e+01,3.719660949707031250e+02
8.400000000000000000e+01,3.705884399414062500e+02
8.500000000000000000e+01,3.723663024902343750e+02
8.600000000000000000e+01,3.716453552246093750e+02
8.700000000000000000e+01,3.752253723144531250e+02
8.800000000000000000e+01,3.717458190917968750e+02
8.900000000000000000e+01,3.708295898437500000e+02
9.000000000000000000e+01,3.715668334960937500e+02
9.100000000000000000e+01,3.727966613769531250e+02
9.200000000000000000e+01,3.753382263183593750e+02
9.300000000000000000e+01,3.724061584472656250e+02
9.400000000000000000e+01,3.716785888671875000e+02
9.500000000000000000e+01,3.712403259277343750e+02
9.600000000000000000e+01,3.705675354003906250e+02
9.700000000000000000e+01,3.784592285156250000e+02
9.800000000000000000e+01,3.730977783203125000e+02
9.900000000000000000e+01,3.712708435058593750e+02
1.000000000000000000e+02,3.711290588378906250e+02
