# iteration,loss
1.000000000000000000e+00,3.757003784179687500e+02
2.000000000000000000e+00,3.737731018066406250e+02
3.000000000000000000e+00,3.826654968261718750e+02
4.000000000000000000e+00,3.735161132812500000e+02
5.000000000000000000e+00,3.732053527832031250e+02
6.000000000000000000e+00,3.783057861328125000e+02
7.000000000000000000e+00,3.734145812988281250e+02
8.000000000000000000e+00,3.725098571777343750e+02
9.000000000000000000e+00,3.719302062988281250e+02
1.000000000000000000e+01,3.709794006347656250e+02
1.100000000000000000e+01,3.712465515136718750e+02
1.200000000000000000e+01,3.714035339355468750e+02
1.300000000000000000e+01,3.717640075683593750e+02
1.400000000000000000e+01,3.712315979003906250e+02
1.500000000000000000e+01,3.708898620605468750e+02
1.600000000000000000e+01,3.705632629394531250e+02
1.700000000000000000e+01,3.701449279785156250e+02
1.800000000000000000e+01,3.700482482910156250e+02
1.900000000000000000e+01,3.697982177734375000e+02
2.000000000000000000e+01,3.696771240234375000e+02
2.100000000000000000e+01,3.694310302734375000e+02
2.200000000000000000e+01,3.692703552246093750e+02
2.300000000000000000e+01,3.693924560546875000e+02
2.400000000000000000e+01,3.691450500488281250e+02
2.500000000000000000e+01,3.688941650390625000e+02
2.600000000000000000e+01,3.688070983886718750e+02
2.700000000000000000e+01,3.686871032714843750e+02
2.800000000000000000e+01,3.687106018066406250e+02
2.900000000000000000e+01,3.686875305175781250e+02
3.000000000000000000e+01,3.686182861328125000e+02
3.100000000000000000e+01,3.686449890136718750e+02
3.200000000000000000e+01,3.685973205566406250e+02
3.300000000000000000e+01,3.684698791503906250e+02
3.400000000000000000e+01,3.684737243652343750e+02
3.500000000000000000e+01,3.684298706054687500e+02
3.600000000000000000e+01,3.684349670410156250e+02
3.700000000000000000e+01,3.684803771972656250e+02
3.800000000000000000e+01,3.684652709960937500e+02
3.900000000000000000e+01,3.684447326660156250e+02
4.000000000000000000e+01,3.683820190429687500e+02
4.100000000000000000e+01,3.684124145507812500e+02
4.200000000000000000e+01,3.683641357421875000e+02
4.300000000000000000e+01,3.684012756347656250e+02
4.400000000000000000e+01,3.683468322753906250e+02
4.500000000000000000e+01,3.683316040039062500e+02
4.600000000000000000e+01,3.683077697753906250e+02
4.700000000000000000e+01,3.683139343261718750e+02
4.800000000000000000e+01,3.683022460937500000e+02
4.900000000000000000e+01,3.683444519042968750e+02
5.000000000000000000e+01,3.683392944335937500e+02
5.100000000000000000e+01,3.683029479980468750e+02
5.200000000000000000e+01,3.682654113769531250e+02
5.300000000000000000e+01,3.682587280273437500e+02
5.400000000000000000e+01,3.682507324218750000e+02
5.500000000000000000e+01,3.682503967285156250e+02
5.600000000000000000e+01,3.682297363281250000e+02
5.700000000000000000e+01,3.682231445312500000e+02
5.800000000000000000e+01,3.682215576171875000e+02
5.900000000000000000e+01,3.682458496093750000e+02
6.000000000000000000e+01,3.682439270019531250e+02
6.100000000000000000e+01,3.682450866699218750e+02
6.200000000000000000e+01,3.682330322265625000e+02
6.300000000000000000e+01,3.682096557617187500e+02
6.400000000000000000e+01,3.681937866210937500e+02
6.500000000000000000e+01,3.681774902343750000e+02
6.600000000000000000e+01,3.681581420898437500e+02
6.700000000000000000e+01,3.681387634277343750e+02
6.800000000000000000e+01,3.681138305664062500e+02
6.900000000000000000e+01,3.680988464355468750e+02
7.000000000000000000e+01,3.681156616210937500e+02
7.100000000000000000e+01,3.681420593261718750e+02
7.200000000000000000e+01,3.681489868164062500e+02
7.300000000000000000e+01,3.681483459472656250e+02
7.400000000000000000e+01,3.681306762695312500e+02
7.500000000000000000e+01,3.681230773925781250e+02
7.600000000000000000e+01,3.681535644531250000e+02
7.700000000000000000e+01,3.681345520019531250e+02
7.800000000000000000e+01,3.681542358398437500e+02
7.900000000000000000e+01,3.681385498046875000e+02
8.000000000000000000e+01,3.681401977539062500e+02
8.100000000000000000e+01,3.681254272460937500e+02
8.200000000000000000e+01,3.681296081542968750e+02
8.300000000000000000e+01,3.681214294433593750e+02
8.400000000000000000e+01,3.681326599121093750e+02
8.500000000000000000e+01,3.681315002441406250e+02
8.600000000000000000e+01,3.680914611816406250e+02
8.700000000000000000e+01,3.680894470214843750e+02
8.800000000000000000e+01,3.680790710449218750e+02
8.900000000000000000e+01,3.680760498046875000e+02
9.000000000000000000e+01,3.680745849609375000e+02
9.100000000000000000e+01,3.680745849609375000e+02
9.200000000000000000e+01,3.680631103515625000e+02
9.300000000000000000e+01,3.680579528808593750e+02
9.400000000000000000e+01,3.680467834472656250e+02
9.500000000000000000e+01,3.680410766601562500e+02
9.600000000000000000e+01,3.680628356933593750e+02
9.700000000000000000e+01,3.680477905273437500e+02
9.800000000000000000e+01,3.680583496093750000e+02
9.900000000000000000e+01,3.680439147949218750e+02
1.000000000000000000e+02,3.680566101074218750e+02
